order_detail_id,order_id,product_id,quantity,discount,sales,cost,profit
1,6106,547,4,20,5310.88,4298.34,1012.54
2,2695,456,4,10,2592.96,1565.33,1027.63
3,9975,432,1,15,13396.85,11404.89,1991.96
4,7305,101,3,20,5002.64,3417.16,1585.48
5,4108,185,3,10,2761.85,1827.53,934.32
6,8818,172,4,5,7857.62,6285.85,1571.77
7,5054,426,1,10,18000,12797.49,5202.51
8,2723,208,2,5,15611.57,11100.41,4511.16
9,7800,98,4,20,10199.86,7688.4,2511.46
10,6271,41,3,15,2826.23,2440.88,385.35
11,9449,581,4,10,2131.17,1797.24,333.93
12,601,425,5,15,7119.55,4224.09,2895.46
13,9320,150,3,20,4820.38,2774.91,2045.47
14,7585,420,2,30,5828.01,5039.53,788.48
15,8003,341,1,15,302.73,168.13,134.6
16,7561,93,5,15,21356.78,18786.4,2570.38
17,8975,471,2,10,12612.41,9971.91,2640.5
18,2925,7,1,10,20044.98,13352.28,6692.7
19,2311,590,1,0,13776.69,8914.29,4862.4
20,5508,100,3,15,9801.94,5925.47,3876.47
21,3760,244,1,15,13189.91,10217.55,2972.36
22,7755,191,2,5,1120.88,944.64,176.24
23,7015,528,4,10,5985.49,5174.34,811.15
24,149,371,4,5,12142.09,8875.28,3266.81
25,2206,443,5,15,23934.72,18842.69,5092.03
26,6825,413,4,10,15548.2,9461.47,6086.73
27,6486,150,3,20,15543.27,12972,2571.27
28,6820,522,2,10,19238.3,13097.33,6140.97
29,2724,178,4,10,19238,14192.91,5045.09
30,6162,554,4,0,14259.04,11859.07,2399.97
31,1090,251,4,10,8709.9,7017.12,1692.78
32,4779,584,1,30,20947.35,14020.37,6926.98
33,3623,256,2,5,15776.89,13582.09,2194.8
34,5860,4,1,30,19863.28,17572.57,2290.71
35,1273,77,2,20,5011.42,3465.07,-675.3
36,9187,291,5,5,24170.2,19490.65,4679.55
37,3604,219,5,15,23937.33,22643.33,1294
38,5185,107,5,30,20384.13,13351.07,7033.06
39,2307,4,5,20,5134.38,3529.59,1604.79
40,9877,440,5,20,2619.96,1567.39,1052.57
41,3133,563,3,30,2359.37,2104.55,254.82
42,3817,220,5,15,22311.17,18244.3,4066.87
43,4754,199,1,30,2128.61,1370.51,758.1
44,8639,31,2,20,9968.03,9047.06,-372.33
