order_id,customer_id,order_date,ship_date,ship_mode,payment_mode
1,859,03-17-23,03-22-23,Same Day,COD
2,192,10-14-24,10-17-24,Same Day,Net Banking
3,468,02-13-22,02-16-22,Same Day,COD
4,282,09-05-23,09-10-23,Same Day,Wallet
5,821,06-25-22,06-26-22,Same Day,Net Banking
6,378,11-29-23,12-01-23,Standard,COD
7,516,11-07-24,11-14-24,Express,COD
8,423,02-05-24,02-07-24,Same Day,COD
9,966,05-09-23,05-13-23,Express,COD
10,561,02-22-23,02-24-23,Same Day,Card
11,264,02-01-22,02-02-22,Same Day,Card
12,707,01-09-24,01-12-24,Same Day,Card
13,179,03-28-24,04-01-24,Same Day,UPI
14,821,09-08-23,09-14-23,Standard,Card
15,666,09-01-24,09-07-24,Same Day,Net Banking
16,982,03-30-22,04-01-22,Express,Net Banking
17,384,05-20-24,05-22-24,Same Day,Wallet
18,675,08-09-23,08-13-23,Same Day,Net Banking
19,193,11-21-24,11-25-24,Express,Card
20,346,11-15-24,11-22-24,Same Day,Net Banking
21,84,03-17-22,03-24-22,Standard,UPI
22,369,12-20-22,12-27-22,Express,Net Banking
23,320,08-31-24,09-03-24,Same Day,COD
24,559,01-12-23,01-19-23,Same Day,Card
25,160,12-15-22,12-16-22,Same Day,Wallet
26,345,03-11-23,03-15-23,Standard,Wallet
27,735,11-13-22,11-15-22,Same Day,Card
28,296,11-05-23,11-12-23,Express,UPI
29,405,07-02-23,07-04-23,Standard,Net Banking
30,478,03-27-23,03-31-23,Standard,Net Banking
31,1,02-08-24,02-15-24,Standard,Card
32,247,04-05-24,04-08-24,Standard,Wallet
33,727,07-23-22,07-27-22,Express,Wallet
34,253,10-29-24,10-30-24,Express,COD
35,382,03-13-23,03-14-23,Same Day,UPI
36,869,09-13-22,09-20-22,Same Day,UPI
37,150,09-20-24,09-25-24,Express,Card
38,355,08-05-24,08-08-24,Express,Card
39,726,01-27-23,01-28-23,Same Day,COD
40,832,06-07-24,06-09-24,Express,Wallet
41,951,10-30-23,10-31-23,Same Day,COD
42,40,11-04-24,11-05-24,Express,COD
43,281,06-17-23,06-23-23,Express,Wallet
44,473,07-01-24,07-05-24,Express,Wallet
45,706,10-13-23,10-14-23,Same Day,Card
46,761,08-21-22,08-23-22,Same Day,Card
47,215,03-06-23,03-08-23,Express,COD
48,746,01-21-23,01-24-23,Express,Net Banking
49,858,04-06-22,04-12-22,Standard,UPI
50,78,12-24-22,12-28-22,Standard,Net Banking
51,905,03-05-22,03-06-22,Express,Net Banking
52,424,10-29-24,10-30-24,Standard,Card
53,421,04-13-22,04-18-22,Standard,COD
54,504,09-17-23,09-23-23,Express,Net Banking
55,904,04-28-22,05-04-22,Same Day,UPI
56,622,10-24-23,10-25-23,Express,Card
57,13,03-30-23,04-02-23,Standard,UPI
